Module,Module Explanation,L2 Classification,L2 Explanation,Lead Metric,Lag Metric,,Check
Advisory,"PRD’s specifically related to trade advisory services, which include direct recommendations or suggestions for stocks, options, trades, or investment opportunities. Include feedback that mentions advisory, recommendations, trade suggestions, or specific advice about investments.",Advisory Enhancements,"This category focuses on improving investment and trading advisory services by enhancing recommendations, insights, and advisory tools.",CTR (Click-Through Rate),"TPS (Touch Point Score), OPC (Order Per Customer), Revenue, Contact Ratio, Revenue",,
Account,"This is the place where a user can view the fund/trading balance, fund transactions, bank details, client id, and other personal information(profile) which is again a separate section. So, any improvement or feature mentions related to this can be considered",Account Navigation & UI/UX Improvement,"This category focuses on enhancing the user experience and ease of navigation within the Accounts section of a trading app. It is centered around UI/UX design, usability improvements, and accessibility. Enhancing ease of use, clarity, and efficiency in navigating the Accounts section.","Profile DAU (Daily Active Users interacting with Profile), CTR (Click-Through Rate)",TPS (Touch Point Score),,
Account,"This is the place where a user can view the fund/trading balance, fund transactions, bank details, client id, and other personal information(profile) which is again a separate section. So, any improvement or feature mentions related to this can be considered",Account Management Feature Enhancements & Additions,"This category focuses on functional upgrades, new features, and improvements related to managing an account in a trading platform.","DAU (Daily Active Users), CTR (Click-Through Rate)
",TPS (Touch Point Score),,
F&O and Option Chain,"PRD’s specifically related to F&O/FnO(Futures and Options), Index Option Chain, and Futures chain, and Sensibull, and includes any ideas for strategy building, risk management, and decision-making in options trading and also related to strike prices, greeks, open interest OI, LTP, Option Expired.",F&O and Option Chain Feature Enhancements & Additions,This category focuses on introducing new functionalities and improving existing features in the Futures & Options (F&O) and Option Chain section of a trading app.,"Click Through Rate (CTR), TAU (Transacting Active user), DAU  (Daily Active Users), Users clicking on the feature/ widget","TPS (Touch Point Score), OPC (Order Per Customer), Revenue",,
F&O and Option Chain,"PRD’s specifically related to F&O/FnO(Futures and Options), Index Option Chain, and Futures chain, and Sensibull, and includes any ideas for strategy building, risk management, and decision-making in options trading and also related to strike prices, greeks, open interest OI, LTP, Option Expired.",F&O and Option Chain Trading Discovery & Engagement (UI/UX Improvement),"This category focuses on enhancing the user experience and ease of navigation within the F&O and Option Chain section of a trading app. It is centered around UI/UX design, usability improvements, and accessibility. Enhancing ease of use, clarity, and discovery of all options and navigating through F&O and Option Chain section.","Click Through Rate (CTR), TAU (Transacting Active user), DAU  (Daily Active Users), Users clicking on the feature/ widget","Activations, TPS (Touch Point Score), Activation, OPC (Order Per Customer), Revenue",,
F&O and Option Chain,"PRD’s specifically related to F&O/FnO(Futures and Options), Index Option Chain, and Futures chain, and Sensibull, and includes any ideas for strategy building, risk management, and decision-making in options trading and also related to strike prices, greeks, open interest OI, LTP, Option Expired.",F&O and Option Chain Strategy,"This category focuses on providing tools and enhancements that help traders plan, analyze, and execute complex trade setups while optimizing risk-reward ratios. It enables seamless strategy selection, testing, execution, and monitoring, allowing traders to make informed decisions and efficiently manage their positions. This also covers integrations with third-party platforms that assist in strategy selection and execution for options trading.","Click Through Rate (CTR), DAU (Daily Active Users), Users clicking on the feature/ widget","TPS (Touch Point Score), OPC (Order Per Customer), Contact Ratio",,
F&O and Option Chain,"PRD’s specifically related to F&O/FnO(Futures and Options), Index Option Chain, and Futures chain, and Sensibull, and includes any ideas for strategy building, risk management, and decision-making in options trading and also related to strike prices, greeks, open interest OI, LTP, Option Expired.",F&O and Option Chain Data & Reporting,"This category is focused on providing better market insights, real-time analytics, and historical data to help traders make more informed decisions.","Click Through Rate (CTR), DAU (Daily Active Users), Users clicking on the feature/ widget","Real Time Data Latency, OPC (Order Per Customer), Revenue",,
F&O and Option Chain,"PRD’s specifically related to F&O/FnO(Futures and Options), Index Option Chain, and Futures chain, and Sensibull, and includes any ideas for strategy building, risk management, and decision-making in options trading and also related to strike prices, greeks, open interest OI, LTP, Option Expired.",others,If the PRD does not lie under any of the above category,"Click Through Rate (CTR), DAU (Daily Active Users), Users clicking on the feature/ widget","OPC (Order Per Customer), Revenue",,
Orders & Positions,"This is the place where a user looks into their order information. So, anything related to order status such as pending, execution, rejection and cancelled orders and also order history and open orders etc.",Order Execution & Modifications,"This category encompasses all aspects of placing, executing, modifying, and managing orders across different trading segments. It focuses on improving order placement efficiency, flexibility, and accuracy, ensuring that users can execute trades seamlessly and make necessary adjustments based on market conditions.","Click Through Rate (CTR) Section wise (On Buy/Sell and Modify Buy/Sell), DAU (Daily Active Users), TAU (Transacting Active user), Click Through Rate (CTR), DAU (Daily Active Users), Users clicking on the feature/ widget","Executed orders, Contact Ratio, Revenue, OPC (Orders Per Customer)",,
Orders & Positions,"This is the place where a user looks into their order information. So, anything related to order status such as pending, execution, rejection and cancelled orders and also order history and open orders etc.",Order Rejections & Error Handling,"This category focuses on managing failed orders, rejected trades, and error scenarios that occur during order execution. It ensures that traders receive timely notifications, clear explanations, and actionable resolutions when their orders do not go through.","DAU (Daily Active Users), TAU (Transacting Active user), Users clicking on the feature/ widget","Order Rejection Rate, Contact Ratio, Revenue ",,
